# file...... output/inverter.csv
# date...... Wed May 11 08:05:47 2022
# user...... void
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,inv_11_batt:phaseA_V_Out, inv_11_batt:phaseA_I_Out, inv_11_sol:VA_In
2019-04-21 05:25:00 GMT,+242.79-28.6564d,+0+0i,+5.54222+0j
2019-04-21 05:26:00 GMT,+242.798-28.6555d,+0+0i,+8.9164+0j
2019-04-21 05:27:00 GMT,+242.806-28.6547d,+0+0i,+13.0144+0j
2019-04-21 05:28:00 GMT,+242.817-28.6536d,+0+0i,+18.1119+0j
2019-04-21 05:29:00 GMT,+242.829-28.6523d,+0+0i,+23.3786+0j
2019-04-21 05:30:00 GMT,+242.735-28.6536d,+0+0i,+28.0258+0j
2019-04-21 05:31:00 GMT,+242.746-28.6524d,+0+0i,+33.6311+0j
2019-04-21 05:32:00 GMT,+242.76-28.651d,+0+0i,+40.1692+0j
2019-04-21 05:33:00 GMT,+242.776-28.6493d,+0+0i,+46.5984+0j
2019-04-21 05:34:00 GMT,+242.791-28.6477d,+0+0i,+54.2639+0j
2019-04-21 05:35:00 GMT,+242.78-28.6515d,+0+0i,+65.5249+0j
2019-04-21 05:36:00 GMT,+242.808-28.6486d,+0+0i,+74.7417+0j
2019-04-21 05:37:00 GMT,+242.83-28.6463d,+0+0i,+83.8111+0j
