# file...... output/auction_price.csv
# date...... Mon Nov 29 00:16:26 2021
# user...... void
# host...... thiccpad
# target.... auction 2
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,current_market.clearing_price
2019-09-30 07:50:00 GMT,+3
2019-09-30 08:00:00 GMT,+3
2019-09-30 08:10:00 GMT,+3
2019-09-30 08:20:00 GMT,+3
2019-09-30 08:30:00 GMT,+3
2019-09-30 08:40:00 GMT,+3
2019-09-30 08:50:00 GMT,+3
2019-09-30 09:00:00 GMT,+3
2019-09-30 09:10:00 GMT,+3
2019-09-30 09:20:00 GMT,+3
2019-09-30 09:30:00 GMT,+3
2019-09-30 09:40:00 GMT,+3
2019-09-30 09:50:00 GMT,+3
2019-09-30 10:00:00 GMT,+3
2019-09-30 10:10:00 GMT,+3
2019-09-30 10:20:00 GMT,+3
2019-09-30 10:30:00 GMT,+3
2019-09-30 10:40:00 GMT,+3
2019-09-30 10:50:00 GMT,+3
2019-09-30 11:00:00 GMT,+3
2019-09-30 11:10:00 GMT,+3
2019-09-30 11:20:00 GMT,+3
2019-09-30 11:30:00 GMT,+3
2019-09-30 11:40:00 GMT,+3
2019-09-30 11:50:00 GMT,+3
2019-09-30 12:00:00 GMT,+3
2019-09-30 12:10:00 GMT,+4
2019-09-30 12:20:00 GMT,+4
2019-09-30 12:30:00 GMT,+4
2019-09-30 12:40:00 GMT,+4
2019-09-30 12:50:00 GMT,+4
2019-09-30 13:00:00 GMT,+4
2019-09-30 13:10:00 GMT,+4
2019-09-30 13:20:00 GMT,+4
2019-09-30 13:30:00 GMT,+4
2019-09-30 13:40:00 GMT,+4
2019-09-30 13:50:00 GMT,+4
2019-09-30 14:00:00 GMT,+4
2019-09-30 14:10:00 GMT,+3.5
2019-09-30 14:20:00 GMT,+3.5
2019-09-30 14:30:00 GMT,+3.5
2019-09-30 14:40:00 GMT,+3.5
2019-09-30 14:50:00 GMT,+3.5
2019-09-30 15:00:00 GMT,+3.5
2019-09-30 15:10:00 GMT,+3.5
2019-09-30 15:20:00 GMT,+3.5
2019-09-30 15:30:00 GMT,+3.5
2019-09-30 15:40:00 GMT,+3.5
2019-09-30 15:50:00 GMT,+3.5
2019-09-30 16:00:00 GMT,+3.5
2019-09-30 16:10:00 GMT,+4
2019-09-30 16:20:00 GMT,+4
2019-09-30 16:30:00 GMT,+4
2019-09-30 16:40:00 GMT,+4
2019-09-30 16:50:00 GMT,+4
2019-09-30 17:00:00 GMT,+4
2019-09-30 17:10:00 GMT,+4
2019-09-30 17:20:00 GMT,+4
2019-09-30 17:30:00 GMT,+4
2019-09-30 17:40:00 GMT,+4
2019-09-30 17:50:00 GMT,+4
2019-09-30 18:00:00 GMT,+4
2019-09-30 18:10:00 GMT,+4
2019-09-30 18:20:00 GMT,+4
2019-09-30 18:30:00 GMT,+4
2019-09-30 18:40:00 GMT,+4
2019-09-30 18:50:00 GMT,+4
2019-09-30 19:00:00 GMT,+4
2019-09-30 19:10:00 GMT,+4
2019-09-30 19:20:00 GMT,+4
2019-09-30 19:30:00 GMT,+4
2019-09-30 19:40:00 GMT,+4
2019-09-30 19:50:00 GMT,+4
2019-09-30 20:00:00 GMT,+4
2019-09-30 20:10:00 GMT,+4
2019-09-30 20:20:00 GMT,+4
2019-09-30 20:30:00 GMT,+4
2019-09-30 20:40:00 GMT,+4
2019-09-30 20:50:00 GMT,+4
2019-09-30 21:00:00 GMT,+4
2019-09-30 21:10:00 GMT,+4
2019-09-30 21:20:00 GMT,+4
2019-09-30 21:30:00 GMT,+4
2019-09-30 21:40:00 GMT,+4
2019-09-30 21:50:00 GMT,+4
2019-09-30 22:00:00 GMT,+4
2019-09-30 22:10:00 GMT,+4
2019-09-30 22:20:00 GMT,+4
2019-09-30 22:30:00 GMT,+4
2019-09-30 22:40:00 GMT,+4
2019-09-30 22:50:00 GMT,+4
2019-09-30 23:00:00 GMT,+4
2019-09-30 23:10:00 GMT,+4
2019-09-30 23:20:00 GMT,+4
2019-09-30 23:30:00 GMT,+4
2019-09-30 23:40:00 GMT,+4
2019-09-30 23:50:00 GMT,+4
