# file...... output_power.csv
# date...... Mon Dec  6 13:45:13 2021
# user...... void
# host...... (null)
# target.... transformer 1025
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,power_out.real,power_out.imag,power_out_A.real,power_out_A.imag,power_out_B.real,power_out_B.imag,power_out_C.real,power_out_C.imag
2019-09-30 02:41:00 GMT,+35868.8,+11738.7,+13496.2,+4396.22,+12511.4,+4112.61,+9861.16,+3229.91
2019-09-30 02:42:00 GMT,+35868.8,+11738.7,+13496.2,+4396.22,+12511.4,+4112.61,+9861.16,+3229.91
2019-09-30 02:43:00 GMT,+35868.8,+11738.7,+13496.2,+4396.22,+12511.4,+4112.61,+9861.16,+3229.91
2019-09-30 02:44:00 GMT,+35868.8,+11738.7,+13496.2,+4396.22,+12511.4,+4112.61,+9861.16,+3229.91
2019-09-30 02:45:00 GMT,+35868.8,+11738.7,+13496.2,+4396.22,+12511.4,+4112.61,+9861.16,+3229.91
2019-09-30 02:46:00 GMT,+35868.8,+11738.7,+13496.2,+4396.22,+12511.4,+4112.61,+9861.16,+3229.91
2019-09-30 02:47:00 GMT,+35868.8,+11738.7,+13496.2,+4396.22,+12511.4,+4112.61,+9861.16,+3229.91
2019-09-30 02:48:00 GMT,+35868.8,+11738.7,+13496.2,+4396.22,+12511.4,+4112.61,+9861.16,+3229.91
2019-09-30 02:49:00 GMT,+35868.8,+11738.7,+13496.2,+4396.22,+12511.4,+4112.61,+9861.16,+3229.91
2019-09-30 02:50:00 GMT,+35868.8,+11738.7,+13496.2,+4396.22,+12511.4,+4112.61,+9861.16,+3229.91
2019-09-30 02:51:00 GMT,+35868.8,+11738.7,+13496.2,+4396.22,+12511.4,+4112.61,+9861.16,+3229.91
2019-09-30 02:52:00 GMT,+35868.8,+11738.7,+13496.2,+4396.22,+12511.4,+4112.61,+9861.16,+3229.91
2019-09-30 02:53:00 GMT,+35868.8,+11738.7,+13496.2,+4396.22,+12511.4,+4112.61,+9861.16,+3229.91
2019-09-30 02:54:00 GMT,+35868.8,+11738.7,+13496.2,+4396.22,+12511.4,+4112.61,+9861.16,+3229.91
2019-09-30 02:55:00 GMT,+35868.8,+11738.7,+13496.2,+4396.22,+12511.4,+4112.61,+9861.16,+3229.91
2019-09-30 02:56:00 GMT,+35868.8,+11738.7,+13496.2,+4396.22,+12511.4,+4112.61,+9861.16,+3229.91
2019-09-30 02:57:00 GMT,+35868.8,+11738.7,+13496.2,+4396.22,+12511.4,+4112.61,+9861.16,+3229.91
2019-09-30 02:58:00 GMT,+35868.8,+11738.7,+13496.2,+4396.22,+12511.4,+4112.61,+9861.16,+3229.91
2019-09-30 02:59:00 GMT,+35868.8,+11738.7,+13496.2,+4396.22,+12511.4,+4112.61,+9861.16,+3229.91
2019-09-30 03:00:00 GMT,+35833.6,+11727.2,+13461,+4384.7,+12511.4,+4112.56,+9861.18,+3229.96
2019-09-30 03:01:00 GMT,+35833.6,+11727.2,+13461,+4384.7,+12511.4,+4112.56,+9861.18,+3229.96
2019-09-30 03:02:00 GMT,+35833.6,+11727.2,+13461,+4384.7,+12511.4,+4112.56,+9861.18,+3229.96
2019-09-30 03:03:00 GMT,+35833.6,+11727.2,+13461,+4384.7,+12511.4,+4112.56,+9861.18,+3229.96
2019-09-30 03:04:00 GMT,+35833.6,+11727.2,+13461,+4384.7,+12511.4,+4112.56,+9861.18,+3229.96
2019-09-30 03:05:00 GMT,+35833.6,+11727.2,+13461,+4384.7,+12511.4,+4112.56,+9861.18,+3229.96
2019-09-30 03:06:00 GMT,+35833.6,+11727.2,+13461,+4384.7,+12511.4,+4112.56,+9861.18,+3229.96
2019-09-30 03:07:00 GMT,+35833.6,+11727.2,+13461,+4384.7,+12511.4,+4112.56,+9861.18,+3229.96
2019-09-30 03:08:00 GMT,+35833.6,+11727.2,+13461,+4384.7,+12511.4,+4112.56,+9861.18,+3229.96
2019-09-30 03:09:00 GMT,+35833.6,+11727.2,+13461,+4384.7,+12511.4,+4112.56,+9861.18,+3229.96
2019-09-30 03:10:00 GMT,+35833.6,+11727.2,+13461,+4384.7,+12511.4,+4112.56,+9861.18,+3229.96
2019-09-30 03:11:00 GMT,+35833.6,+11727.2,+13461,+4384.7,+12511.4,+4112.56,+9861.18,+3229.96
2019-09-30 03:12:00 GMT,+35833.6,+11727.2,+13461,+4384.7,+12511.4,+4112.56,+9861.18,+3229.96
