#Feni weather file
$city_name=Feni
$timezone=GMT
temperature,humidity,wind_speed,solar_dir,solar_diff,solar_global
09:28:11:01:00,40.5217,0.51511,471.602,535.69,985.175
09:28:11:02:00,40.6,0.462812,479.305,537.732,977.724
09:28:11:03:00,40.6,0.572064,488.007,433.919,883.309
09:28:11:04:00,40.6,0.679658,501.781,244.187,730.725
09:28:11:05:00,40.645,1.37651,519.128,181.334,702.935
09:28:11:06:00,40.6917,2.01987,543.207,305.598,848.267
09:28:11:07:00,40.7,2.14091,569.995,252.471,809.864
09:28:11:08:00,40.7,2.14638,590.584,227.506,821.979
09:28:11:09:00,40.7,1.89242,609.727,344.93,950.683
09:28:11:10:00,40.765,1.3986,620.815,283.905,885.123
09:28:11:11:00,40.8,1.07701,616.079,153.542,769.11
09:28:11:12:00,40.8,1.28313,602.475,92.4593,700.745
09:28:11:13:00,40.8,1.0191,586.15,52.942,646.377
09:28:11:14:00,40.86,0.924984,574.096,32.1479,615.76
09:28:11:15:00,40.8967,1.02805,569.388,31.4481,610.459
09:28:11:16:00,40.9,1.06233,571.042,43.359,624.694
09:28:11:17:00,40.9333,1.17438,578.047,68.152,656.721
09:28:11:18:00,40.9867,1.07827,586.476,86.4753,682.897
09:28:11:19:00,41,0.930701,587.401,102.085,698.811
09:28:11:20:00,41.0067,0.8455,579.588,90.0029,675.976
09:28:11:21:00,41.045,1.04092,565.745,49.6572,623.166
09:28:11:22:00,41.1,0.777634,550.516,20.0657,581.246
09:28:11:23:00,41.1033,0.415878,538.915,16.0383,565.964
09:28:11:24:00,41.125,0.38771,535.726,19.3088,565.833
09:28:11:25:00,41.2,0.382989,539.574,25.8812,576.263
09:28:11:26:00,41.2,0.51712,545.251,25.8052,582.048
09:28:11:27:00,41.215,0.368589,549.809,19.4516,580.484
09:28:11:28:00,41.2967,0.596556,553.225,16.5525,581.253
09:28:11:29:00,41.3083,0.996981,556.524,20.6084,587.24
09:28:11:30:00,41.375,1.08102,561.574,29.9914,602.016
09:28:11:31:00,41.4,0.788531,571.882,39.8886,621.717
09:28:11:32:00,41.4333,1.06293,585.288,44.7444,642.477
09:28:11:33:00,41.5,1.05683,597.059,102.485,714.264
09:28:11:34:00,41.5,1.14976,604.532,135.647,741.109
09:28:11:35:00,41.5783,1.1204,607.794,352.714,969.251
09:28:11:36:00,41.6,1.22169,607.53,291.574,882.495
09:28:11:37:00,41.6083,1.46563,604.645,214.91,819.073
09:28:11:38:00,41.6933,1.2454,603.396,229.335,833.514
09:28:11:39:00,41.7,1.33029,604.415,222.222,815.958
09:28:11:40:00,41.7067,1.30215,609.46,75.9925,693.825
09:28:11:41:00,41.795,0.932103,614.833,63.6818,687.515
09:28:11:42:00,41.8,0.833284,615.858,57.8692,685.156
09:28:11:43:00,41.8333,1.16554,611.843,125.45,755.875
09:28:11:44:00,41.9,1.28062,607.487,199.457,798.49
09:28:11:45:00,41.9,1.37062,603.082,28.4919,643.116
09:28:11:46:00,41.9167,1.08364,599.667,16.9666,630.345
09:28:11:47:00,42,1.02594,595.606,22.0651,631.118
09:28:11:48:00,42,0.94274,594.411,35.7041,643.948
09:28:11:49:00,42,1.10134,595.235,37.6607,646.021
09:28:11:50:00,42.055,0.903695,597.509,46.2297,657.067
09:28:11:51:00,42.1,0.807781,603.993,80.9055,697.696
