# file...... Gen_1_Speed.csv
# date...... Sun May  8 01:55:15 2022
# user...... void
# host...... (null)
# target.... diesel_dg 1833
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,rotor_speed,rotor_angle,flux1d,flux2q,EpRotated,VintRotated,Eint_A,Eint_B,Eint_C,Irotated,pwr_electric.real,pwr_electric.imag,pwr_mech
2019-04-21 00:02:34 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:35 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:36 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:37 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:38 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:39 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:40 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:41 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:42 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
2019-04-21 00:02:43 GMT,+376.991,+0.234148,+1.04842,-0.226506,+0.20763+1.07958j,+0.211972+1.06452j,+0+0i,+0+0i,+0+0i,+0.104548+0.0943775j,+1.16879e+06,+839135,+1.22628e+06
